timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum,cpuTemp
18:14:37_3/8/2023,auto,23,90,0,26.3,72,0,False,False,0,True,37.48
18:16:37_3/8/2023,auto,23,90,0,26.2,79,0,False,False,0,True,37.97
18:18:37_3/8/2023,auto,23,90,0,26.1,88,0,False,False,0,True,38.46
18:20:37_3/8/2023,auto,23,90,0,26.0,94,0,False,False,0,True,38.46
18:22:37_3/8/2023,auto,23,90,0,26.0,98,0,False,False,0,True,38.46
18:24:37_3/8/2023,auto,23,90,0,25.9,75,0,False,False,0,True,37.48
18:26:37_3/8/2023,auto,23,90,0,25.7,63,0,False,False,0,True,37.48
18:28:37_3/8/2023,auto,23,90,0,25.5,57,0,False,False,0,True,38.46
18:30:37_3/8/2023,auto,23,90,0,25.3,53,0,False,False,0,True,38.95
18:32:37_3/8/2023,auto,23,90,0,24.9,51,0,False,False,0,True,38.46
18:34:37_3/8/2023,auto,23,90,0,24.5,50,0,False,False,0,True,37.48
18:37:19_3/8/2023,auto,23,90,0,24.1,49,0,False,False,0,True,37.48
18:38:39_3/8/2023,auto,23,90,0,23.7,48,0,False,False,0,True,37.97
18:40:37_3/8/2023,auto,23,90,0,23.2,48,0,False,False,0,True,37.97
18:42:37_3/8/2023,auto,23,90,0,22.8,51,0,False,False,0,True,39.92
18:44:37_3/8/2023,auto,23,90,0,22.4,66,0,False,False,0,True,38.95
18:47:31_3/8/2023,auto,23,90,0,22.1,80,0,False,False,0,True,37.48
18:49:32_3/8/2023,auto,23,90,0,21.9,88,0,False,False,0,True,37.97
18:50:37_3/8/2023,auto,23,90,0,21.8,92,0,False,False,0,True,38.95
18:52:37_3/8/2023,auto,23,90,0,21.9,95,0,False,False,0,True,37.97
18:54:39_3/8/2023,auto,23,90,0,22.0,97,0,False,False,0,True,39.43
18:57:34_3/8/2023,auto,23,90,0,22.1,99,0,False,False,0,True,37.48
19:0:2_3/8/2023,auto,23,90,0,22.3,100,0,False,False,0,True,37.00
19:1:53_3/8/2023,auto,23,90,0,22.4,101,0,False,False,0,True,37.48
19:2:50_3/8/2023,auto,23,90,0,22.5,102,0,False,False,0,True,38.46
19:4:37_3/8/2023,auto,23,90,0,22.7,102,0,False,False,0,True,38.46
19:6:37_3/8/2023,auto,23,90,0,22.8,102,0,False,False,0,True,37.48
19:8:37_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,True,37.97
19:10:37_3/8/2023,auto,23,90,0,22.9,91,0,False,False,0,True,37.97
19:12:40_3/8/2023,auto,23,90,0,22.9,75,0,False,False,0,True,37.48
19:14:37_3/8/2023,auto,23,90,0,22.8,85,0,False,False,0,True,37.97
19:16:37_3/8/2023,auto,23,90,0,22.8,92,0,False,False,0,True,37.48
19:18:37_3/8/2023,auto,23,90,0,22.8,98,0,False,False,0,True,37.97
19:20:37_3/8/2023,auto,23,90,0,22.9,102,0,False,False,0,True,37.97
19:22:37_3/8/2023,auto,23,90,0,22.9,97,0,False,False,0,True,37.00
19:24:37_3/8/2023,auto,23,90,0,22.8,75,0,False,False,0,True,39.43
19:26:37_3/8/2023,auto,23,90,0,22.8,84,0,False,False,0,True,38.46
19:28:37_3/8/2023,auto,23,90,0,22.8,92,0,False,False,0,True,38.46
19:30:37_3/8/2023,auto,23,90,0,22.8,99,0,False,False,0,True,38.46
19:32:37_3/8/2023,auto,23,90,0,23.0,102,0,False,False,0,True,38.95
19:34:37_3/8/2023,auto,23,90,0,23.0,91,0,False,False,0,True,39.43
19:36:37_3/8/2023,auto,23,90,0,22.8,76,0,False,False,0,True,37.48
19:38:37_3/8/2023,auto,23,90,0,22.8,85,0,False,False,0,True,37.97
19:40:37_3/8/2023,auto,23,90,0,22.8,93,0,False,False,0,True,37.00
19:42:37_3/8/2023,auto,23,90,0,22.8,99,0,False,False,0,True,37.97
