timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum
3:59:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
4:1:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
4:3:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
4:5:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
4:7:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
4:9:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
4:11:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
4:13:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
4:15:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:17:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
4:19:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:21:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:23:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:25:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:27:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:29:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:31:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:33:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:35:14_1/3/2023,auto,23,90,0,31.1,76,0,False,False,25,False
4:37:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:39:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:41:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:43:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:45:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:47:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:49:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:51:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
4:53:14_1/3/2023,auto,23,90,0,31.0,76,0,False,False,25,False
